Doctor_Name,Specialization,Available_Timings,Available_Date,Hospital_Name,Location,Department_Size,Patient_Influx,Doctor_Ratio,Doctor_Availability
Dr. Swati Desai,Orthopedics,12,2024-11-09,City Hospital,Chennai,53,373,1.21,0
Dr. Swati Desai,Pediatrics,8,2024-11-10,Govt Health Center,Kolkata,24,156,0.57,0
Dr. Swati Desai,Cardiology,11,2024-11-11,Metro Hospital,Mumbai,70,332,0.97,0
Dr. Rohit Verma,Dermatology,15,2024-11-12,City Hospital,Kolkata,16,420,0.69,0
Dr. Anil Mehra,Dermatology,13,2024-11-13,Govt Health Center,Mumbai,39,217,1.23,1
Dr. Anil Mehra,Orthopedics,8,2024-11-14,Metro Hospital,Mumbai,45,123,1.86,1
Dr. Anil Mehra,Dermatology,8,2024-11-15,Metro Hospital,New Delhi,99,285,1.99,1
Dr. Anil Mehra,Orthopedics,10,2024-11-16,Metro Hospital,New Delhi,20,141,1.92,1
Dr. Swati Desai,Orthopedics,17,2024-11-17,Metro Hospital,Mumbai,79,134,1.98,1
Dr. Rohit Verma,Pediatrics,15,2024-11-18,Govt Health Center,Chennai,38,421,0.52,0
Dr. Rohit Verma,Orthopedics,15,2024-11-19,City Hospital,Chennai,88,124,1.59,1
Dr. Swati Desai,Pediatrics,10,2024-11-20,Metro Hospital,Chennai,15,133,0.91,0
Dr. Rohit Verma,Dermatology,14,2024-11-21,Metro Hospital,Chennai,85,294,1.8,1
Dr. Swati Desai,Orthopedics,10,2024-11-22,City Hospital,New Delhi,60,277,1.72,1
Dr. Anil Mehra,Orthopedics,11,2024-11-23,Metro Hospital,Kolkata,89,132,1.14,1
Dr. Swati Desai,Cardiology,16,2024-11-24,Metro Hospital,Kolkata,47,443,1.21,0
Dr. Anil Mehra,Orthopedics,11,2024-11-25,City Hospital,Mumbai,82,64,0.9,0
Dr. Anil Mehra,Orthopedics,10,2024-11-26,City Hospital,Chennai,31,350,0.93,0
Dr. Ravi Kumar,Cardiology,12,2024-11-27,Metro Hospital,New Delhi,99,230,1.97,1
Dr. Swati Desai,Cardiology,14,2024-11-28,City Hospital,New Delhi,63,387,1.83,0
Dr. Ravi Kumar,Dermatology,12,2024-11-29,Govt Health Center,New Delhi,49,312,0.79,0
Dr. Swati Desai,Orthopedics,11,2024-11-30,Govt Health Center,Mumbai,16,463,0.91,0
Dr. Swati Desai,Dermatology,15,2024-12-01,Metro Hospital,New Delhi,49,127,0.66,0
Dr. Ravi Kumar,Dermatology,11,2024-12-02,Metro Hospital,Mumbai,33,278,1.98,1
Dr. Ravi Kumar,Cardiology,9,2024-12-03,City Hospital,Mumbai,50,282,1.86,1
Dr. Swati Desai,Pediatrics,17,2024-12-04,City Hospital,Mumbai,60,79,1.33,1
Dr. Rohit Verma,Dermatology,13,2024-12-05,Metro Hospital,Mumbai,48,423,1.54,0
Dr. Anil Mehra,Pediatrics,9,2024-12-06,Metro Hospital,New Delhi,92,204,1.62,1
Dr. Ravi Kumar,Orthopedics,10,2024-12-07,Govt Health Center,New Delhi,52,354,0.81,0
Dr. Anil Mehra,Cardiology,8,2024-12-08,City Hospital,Kolkata,78,234,1.9,1
Dr. Rohit Verma,Orthopedics,12,2024-12-09,Metro Hospital,New Delhi,68,497,1.29,0
Dr. Rohit Verma,Orthopedics,16,2024-12-10,Metro Hospital,Chennai,34,406,0.64,0
Dr. Rohit Verma,Cardiology,9,2024-12-11,City Hospital,Chennai,34,496,1.1,0
Dr. Ravi Kumar,Orthopedics,14,2024-12-12,City Hospital,Mumbai,82,481,1.4,0
Dr. Rohit Verma,Cardiology,12,2024-12-13,Metro Hospital,Mumbai,33,304,1.03,0
Dr. Ravi Kumar,Pediatrics,9,2024-12-14,Metro Hospital,Mumbai,71,218,1.55,1
Dr. Rohit Verma,Orthopedics,15,2024-12-15,Metro Hospital,Kolkata,52,130,1.82,1
Dr. Anil Mehra,Cardiology,13,2024-12-16,City Hospital,Mumbai,68,335,1.66,0
Dr. Anil Mehra,Dermatology,11,2024-12-17,Metro Hospital,Kolkata,63,259,1.46,1
Dr. Swati Desai,Orthopedics,11,2024-12-18,Metro Hospital,Mumbai,88,308,1.27,0
Dr. Anil Mehra,Pediatrics,9,2024-12-19,Metro Hospital,Chennai,35,86,0.88,0
Dr. Swati Desai,Cardiology,10,2024-12-20,Govt Health Center,Mumbai,63,335,1.18,0
Dr. Anil Mehra,Orthopedics,14,2024-12-21,Govt Health Center,New Delhi,70,103,0.94,0
Dr. Ravi Kumar,Orthopedics,10,2024-12-22,City Hospital,Mumbai,84,418,1.9,0
Dr. Anil Mehra,Orthopedics,12,2024-12-23,Metro Hospital,New Delhi,88,261,1.86,1
Dr. Swati Desai,Pediatrics,17,2024-12-24,Metro Hospital,New Delhi,53,391,0.73,0
Dr. Swati Desai,Cardiology,13,2024-12-25,City Hospital,New Delhi,18,149,1.73,1
Dr. Rohit Verma,Dermatology,13,2024-12-26,City Hospital,New Delhi,51,134,1.55,1
Dr. Ravi Kumar,Dermatology,11,2024-12-27,City Hospital,Kolkata,38,262,1.96,1
Dr. Anil Mehra,Dermatology,13,2024-12-28,Metro Hospital,Kolkata,88,440,1.19,0
Dr. Rohit Verma,Cardiology,10,2024-12-29,Govt Health Center,Mumbai,90,313,1.58,0
Dr. Anil Mehra,Dermatology,14,2024-12-30,City Hospital,Mumbai,89,135,1.28,1
Dr. Anil Mehra,Pediatrics,14,2024-12-31,Metro Hospital,Kolkata,67,112,0.6,0
Dr. Rohit Verma,Cardiology,11,2025-01-01,City Hospital,Mumbai,95,496,0.57,0
Dr. Rohit Verma,Orthopedics,9,2025-01-02,Metro Hospital,Mumbai,72,241,0.68,0
Dr. Rohit Verma,Pediatrics,14,2025-01-03,City Hospital,Kolkata,58,463,0.94,0
Dr. Rohit Verma,Orthopedics,10,2025-01-04,Metro Hospital,Kolkata,20,142,0.89,0
Dr. Rohit Verma,Dermatology,8,2025-01-05,City Hospital,Mumbai,98,302,1.59,0
Dr. Anil Mehra,Pediatrics,9,2025-01-06,Govt Health Center,Kolkata,63,187,1.57,1
Dr. Rohit Verma,Cardiology,17,2025-01-07,City Hospital,Chennai,39,98,1.96,1
Dr. Ravi Kumar,Pediatrics,16,2025-01-08,City Hospital,New Delhi,75,170,0.97,0
Dr. Swati Desai,Orthopedics,15,2025-01-09,Govt Health Center,New Delhi,74,88,1.91,1
Dr. Rohit Verma,Cardiology,13,2025-01-10,City Hospital,Chennai,67,83,1.42,1
Dr. Rohit Verma,Pediatrics,13,2025-01-11,Govt Health Center,Chennai,66,407,1.24,0
Dr. Anil Mehra,Pediatrics,8,2025-01-12,Metro Hospital,Mumbai,46,315,1.5,0
Dr. Rohit Verma,Pediatrics,9,2025-01-13,Govt Health Center,Mumbai,63,58,1.55,1
Dr. Rohit Verma,Pediatrics,11,2025-01-14,Govt Health Center,New Delhi,82,237,0.76,0
Dr. Rohit Verma,Cardiology,10,2025-01-15,Metro Hospital,Mumbai,78,145,1.63,1
Dr. Anil Mehra,Orthopedics,8,2025-01-16,Govt Health Center,New Delhi,33,182,1.59,1
Dr. Rohit Verma,Pediatrics,15,2025-01-17,Govt Health Center,Mumbai,72,212,2,1
Dr. Swati Desai,Cardiology,14,2025-01-18,Metro Hospital,Mumbai,60,188,1.87,1
Dr. Anil Mehra,Orthopedics,11,2025-01-19,City Hospital,New Delhi,24,347,1.53,0
Dr. Swati Desai,Pediatrics,16,2025-01-20,City Hospital,Chennai,56,129,1.57,1
Dr. Anil Mehra,Orthopedics,11,2025-01-21,Govt Health Center,Chennai,82,140,1.92,1
Dr. Rohit Verma,Orthopedics,8,2025-01-22,City Hospital,Mumbai,55,305,1.95,0
Dr. Swati Desai,Cardiology,17,2025-01-23,City Hospital,Chennai,39,197,1.74,1
Dr. Anil Mehra,Orthopedics,8,2025-01-24,Govt Health Center,Mumbai,88,228,1.65,1
Dr. Ravi Kumar,Cardiology,8,2025-01-25,Metro Hospital,Kolkata,29,306,0.67,0
Dr. Rohit Verma,Pediatrics,8,2025-01-26,City Hospital,Kolkata,66,267,1.75,1
Dr. Anil Mehra,Orthopedics,11,2025-01-27,Govt Health Center,Kolkata,58,316,0.88,0
Dr. Ravi Kumar,Orthopedics,8,2025-01-28,Metro Hospital,Chennai,65,366,1.35,0
Dr. Anil Mehra,Dermatology,9,2025-01-29,City Hospital,Chennai,65,128,1.11,1
Dr. Ravi Kumar,Pediatrics,11,2025-01-30,Metro Hospital,New Delhi,34,216,1.02,1
Dr. Rohit Verma,Pediatrics,14,2025-01-31,Govt Health Center,Chennai,18,153,0.97,0
Dr. Swati Desai,Dermatology,9,2025-02-01,Metro Hospital,Mumbai,31,353,1.78,0
Dr. Ravi Kumar,Dermatology,15,2025-02-02,Metro Hospital,New Delhi,86,387,1.65,0
Dr. Anil Mehra,Cardiology,14,2025-02-03,Govt Health Center,Chennai,46,333,1.29,0
Dr. Rohit Verma,Cardiology,16,2025-02-04,City Hospital,New Delhi,37,394,1.5,0
Dr. Ravi Kumar,Orthopedics,13,2025-02-05,City Hospital,Chennai,23,264,1.98,1
Dr. Anil Mehra,Orthopedics,11,2025-02-06,Metro Hospital,Mumbai,39,124,1.1,1
Dr. Anil Mehra,Orthopedics,13,2025-02-07,Metro Hospital,Kolkata,48,274,1.33,1
Dr. Anil Mehra,Orthopedics,11,2025-02-08,Metro Hospital,Kolkata,66,385,1.3,0
Dr. Ravi Kumar,Cardiology,14,2025-02-09,Metro Hospital,Mumbai,14,341,1.9,0
Dr. Ravi Kumar,Pediatrics,16,2025-02-10,City Hospital,New Delhi,21,392,1.03,0
Dr. Ravi Kumar,Orthopedics,10,2025-02-11,Govt Health Center,Kolkata,44,119,1.98,1
Dr. Swati Desai,Pediatrics,10,2025-02-12,Govt Health Center,Chennai,50,412,0.96,0
Dr. Ravi Kumar,Orthopedics,9,2025-02-13,Govt Health Center,Chennai,72,239,0.66,0
Dr. Ravi Kumar,Dermatology,8,2025-02-14,Metro Hospital,New Delhi,51,155,0.79,0
Dr. Ravi Kumar,Orthopedics,8,2025-02-15,Metro Hospital,New Delhi,74,119,1.14,1
Dr. Swati Desai,Orthopedics,10,2025-02-16,Govt Health Center,Mumbai,74,59,1.47,1
Dr. Ravi Kumar,Orthopedics,14,2025-02-17,City Hospital,Kolkata,52,263,1.28,1
Dr. Anil Mehra,Cardiology,16,2025-02-18,Govt Health Center,New Delhi,69,54,1.06,1
Dr. Ravi Kumar,Dermatology,9,2025-02-19,City Hospital,Kolkata,29,77,1.34,1
Dr. Anil Mehra,Orthopedics,14,2025-02-20,Metro Hospital,Kolkata,72,364,1.76,0
Dr. Anil Mehra,Orthopedics,8,2025-02-21,Govt Health Center,Chennai,33,442,1.76,0
Dr. Anil Mehra,Pediatrics,9,2025-02-22,Govt Health Center,New Delhi,84,472,1.59,0
Dr. Swati Desai,Dermatology,13,2025-02-23,Metro Hospital,Mumbai,81,290,1.93,1
Dr. Swati Desai,Orthopedics,12,2025-02-24,City Hospital,New Delhi,44,285,1.39,1
Dr. Swati Desai,Pediatrics,15,2025-02-25,Govt Health Center,Kolkata,50,141,0.51,0
Dr. Ravi Kumar,Pediatrics,9,2025-02-26,Govt Health Center,Chennai,25,367,0.94,0
Dr. Anil Mehra,Cardiology,8,2025-02-27,City Hospital,New Delhi,89,394,0.99,0
Dr. Swati Desai,Pediatrics,14,2025-02-28,Govt Health Center,New Delhi,15,412,1.32,0
Dr. Swati Desai,Orthopedics,13,2025-03-01,Govt Health Center,New Delhi,29,87,1.86,1
Dr. Ravi Kumar,Cardiology,15,2025-03-02,Metro Hospital,Mumbai,65,268,1.76,1
Dr. Swati Desai,Cardiology,15,2025-03-03,City Hospital,Mumbai,84,201,0.85,0
Dr. Ravi Kumar,Orthopedics,9,2025-03-04,Govt Health Center,Mumbai,17,241,1.28,1
Dr. Rohit Verma,Dermatology,15,2025-03-05,Govt Health Center,Mumbai,93,170,1.49,1
Dr. Swati Desai,Pediatrics,13,2025-03-06,Metro Hospital,Chennai,15,220,1.98,1
Dr. Rohit Verma,Cardiology,16,2025-03-07,Govt Health Center,Chennai,17,159,0.55,0
Dr. Ravi Kumar,Dermatology,14,2025-03-08,Metro Hospital,Mumbai,71,193,1.2,1
Dr. Anil Mehra,Orthopedics,9,2025-03-09,Govt Health Center,Kolkata,23,115,1.98,1
Dr. Swati Desai,Pediatrics,15,2025-03-10,Metro Hospital,Mumbai,12,371,1.97,0
Dr. Ravi Kumar,Pediatrics,16,2025-03-11,City Hospital,Mumbai,11,246,1,0
Dr. Anil Mehra,Cardiology,14,2025-03-12,City Hospital,Kolkata,31,95,0.5,0
Dr. Anil Mehra,Pediatrics,11,2025-03-13,Govt Health Center,New Delhi,94,198,1.38,1
Dr. Rohit Verma,Pediatrics,16,2025-03-14,Govt Health Center,Kolkata,79,109,1.8,1
Dr. Ravi Kumar,Pediatrics,11,2025-03-15,Metro Hospital,Kolkata,80,187,0.99,0
Dr. Anil Mehra,Pediatrics,11,2025-03-16,Metro Hospital,Chennai,15,451,1.9,0
Dr. Swati Desai,Orthopedics,16,2025-03-17,City Hospital,New Delhi,59,139,1,0
Dr. Swati Desai,Dermatology,15,2025-03-18,Govt Health Center,Kolkata,53,261,1.42,1
Dr. Rohit Verma,Orthopedics,11,2025-03-19,Metro Hospital,Mumbai,17,218,1.58,1
Dr. Anil Mehra,Orthopedics,15,2025-03-20,City Hospital,Kolkata,33,469,1.02,0
Dr. Ravi Kumar,Cardiology,15,2025-03-21,City Hospital,Chennai,36,162,1.03,1
Dr. Swati Desai,Pediatrics,14,2025-03-22,Metro Hospital,Kolkata,62,390,1.2,0
Dr. Anil Mehra,Orthopedics,17,2025-03-23,Govt Health Center,Mumbai,60,115,1.75,1
Dr. Anil Mehra,Pediatrics,13,2025-03-24,City Hospital,New Delhi,37,351,0.65,0
Dr. Rohit Verma,Orthopedics,15,2025-03-25,Metro Hospital,Chennai,68,167,1.45,1
Dr. Swati Desai,Orthopedics,14,2025-03-26,City Hospital,New Delhi,78,274,1.52,1
Dr. Swati Desai,Cardiology,12,2025-03-27,Govt Health Center,Chennai,92,200,1.34,1
Dr. Ravi Kumar,Dermatology,11,2025-03-28,Metro Hospital,Mumbai,82,216,1.9,1
Dr. Swati Desai,Dermatology,9,2025-03-29,Govt Health Center,Chennai,34,144,1.4,1
Dr. Ravi Kumar,Orthopedics,15,2025-03-30,Govt Health Center,New Delhi,53,309,1.45,0
Dr. Swati Desai,Cardiology,16,2025-03-31,City Hospital,New Delhi,56,474,1.4,0
Dr. Rohit Verma,Pediatrics,11,2025-04-01,Govt Health Center,Kolkata,22,308,1.58,0
Dr. Swati Desai,Pediatrics,11,2025-04-02,City Hospital,New Delhi,62,486,0.7,0
Dr. Ravi Kumar,Orthopedics,12,2025-04-03,Metro Hospital,Kolkata,62,169,1.84,1
Dr. Ravi Kumar,Dermatology,9,2025-04-04,Metro Hospital,New Delhi,46,123,0.56,0
Dr. Rohit Verma,Cardiology,14,2025-04-05,City Hospital,Kolkata,72,411,1.46,0
Dr. Swati Desai,Dermatology,12,2025-04-06,City Hospital,Mumbai,75,145,1.42,1
Dr. Swati Desai,Pediatrics,13,2025-04-07,City Hospital,Kolkata,49,341,0.81,0
Dr. Rohit Verma,Dermatology,11,2025-04-08,Govt Health Center,New Delhi,87,226,0.56,0
Dr. Swati Desai,Pediatrics,15,2025-04-09,Metro Hospital,Mumbai,70,76,0.71,0
Dr. Swati Desai,Cardiology,15,2025-04-10,Metro Hospital,Chennai,15,358,0.91,0
Dr. Ravi Kumar,Cardiology,12,2025-04-11,Govt Health Center,New Delhi,34,354,1.82,0
Dr. Swati Desai,Orthopedics,13,2025-04-12,City Hospital,Kolkata,55,260,1.78,1
Dr. Swati Desai,Orthopedics,10,2025-04-13,Metro Hospital,Chennai,40,407,0.6,0
Dr. Rohit Verma,Dermatology,8,2025-04-14,Govt Health Center,Kolkata,89,306,0.93,0
Dr. Rohit Verma,Cardiology,16,2025-04-15,City Hospital,Chennai,72,479,1.83,0
Dr. Anil Mehra,Cardiology,16,2025-04-16,Metro Hospital,Mumbai,77,367,0.85,0
Dr. Ravi Kumar,Orthopedics,10,2025-04-17,City Hospital,New Delhi,48,254,1.99,1
Dr. Swati Desai,Pediatrics,11,2025-04-18,Govt Health Center,Mumbai,89,404,0.89,0
Dr. Swati Desai,Dermatology,14,2025-04-19,Metro Hospital,New Delhi,45,115,1.61,1
Dr. Anil Mehra,Dermatology,9,2025-04-20,City Hospital,Chennai,16,199,1.13,1
Dr. Swati Desai,Orthopedics,10,2025-04-21,City Hospital,Mumbai,94,216,0.7,0
Dr. Ravi Kumar,Cardiology,13,2025-04-22,City Hospital,New Delhi,75,269,0.88,0
Dr. Anil Mehra,Orthopedics,15,2025-04-23,Govt Health Center,Chennai,64,349,1.51,0
Dr. Ravi Kumar,Orthopedics,8,2025-04-24,City Hospital,Mumbai,81,307,1.01,0
Dr. Anil Mehra,Orthopedics,11,2025-04-25,Metro Hospital,Mumbai,51,252,1.41,1
Dr. Anil Mehra,Orthopedics,8,2025-04-26,Metro Hospital,Mumbai,36,289,0.81,0
Dr. Rohit Verma,Pediatrics,9,2025-04-27,City Hospital,Mumbai,11,364,1.17,0
Dr. Ravi Kumar,Pediatrics,15,2025-04-28,Govt Health Center,Kolkata,79,278,1.27,1
Dr. Swati Desai,Cardiology,13,2025-04-29,Metro Hospital,Chennai,13,205,1.12,1
Dr. Swati Desai,Orthopedics,16,2025-04-30,Metro Hospital,Kolkata,30,267,0.8,0
Dr. Ravi Kumar,Pediatrics,9,2025-05-01,Metro Hospital,Chennai,10,244,1.19,1
Dr. Swati Desai,Cardiology,10,2025-05-02,City Hospital,Chennai,47,319,1.54,0
Dr. Swati Desai,Orthopedics,16,2025-05-03,Metro Hospital,Chennai,69,65,1.95,1
Dr. Ravi Kumar,Dermatology,16,2025-05-04,City Hospital,New Delhi,85,290,1.68,1
Dr. Anil Mehra,Pediatrics,13,2025-05-05,City Hospital,Chennai,23,301,0.74,0
Dr. Ravi Kumar,Cardiology,10,2025-05-06,City Hospital,Mumbai,88,100,0.91,0
Dr. Anil Mehra,Dermatology,12,2025-05-07,City Hospital,Kolkata,97,405,0.62,0
Dr. Swati Desai,Orthopedics,9,2025-05-08,City Hospital,Mumbai,91,77,0.7,0
Dr. Swati Desai,Orthopedics,14,2025-05-09,Metro Hospital,Mumbai,26,102,0.88,0
Dr. Swati Desai,Orthopedics,17,2025-05-10,City Hospital,Kolkata,82,357,0.8,0
Dr. Rohit Verma,Pediatrics,15,2025-05-11,City Hospital,Mumbai,56,165,0.82,0
Dr. Anil Mehra,Cardiology,13,2025-05-12,City Hospital,New Delhi,91,458,0.85,0
Dr. Rohit Verma,Dermatology,15,2025-05-13,City Hospital,Mumbai,65,490,0.95,0
Dr. Rohit Verma,Cardiology,9,2025-05-14,City Hospital,Mumbai,62,58,0.69,0
Dr. Ravi Kumar,Pediatrics,10,2025-05-15,City Hospital,Kolkata,27,60,0.92,0
Dr. Rohit Verma,Cardiology,14,2025-05-16,Metro Hospital,Mumbai,78,156,1.53,1
Dr. Ravi Kumar,Pediatrics,17,2025-05-17,City Hospital,Kolkata,57,350,0.85,0
Dr. Ravi Kumar,Orthopedics,8,2025-05-18,City Hospital,Chennai,18,390,0.76,0
Dr. Rohit Verma,Dermatology,14,2025-05-19,Metro Hospital,Chennai,63,307,0.6,0
Dr. Anil Mehra,Orthopedics,13,2025-05-20,Metro Hospital,New Delhi,44,231,1.25,1
Dr. Anil Mehra,Cardiology,15,2025-05-21,Govt Health Center,Kolkata,55,467,1.76,0
Dr. Anil Mehra,Orthopedics,14,2025-05-22,Metro Hospital,Kolkata,10,219,0.59,0
Dr. Anil Mehra,Dermatology,11,2025-05-23,Metro Hospital,Kolkata,50,374,1.31,0
Dr. Anil Mehra,Orthopedics,10,2025-05-24,City Hospital,New Delhi,82,188,1.48,1
Dr. Rohit Verma,Dermatology,10,2025-05-25,Govt Health Center,New Delhi,41,334,1.39,0
Dr. Rohit Verma,Dermatology,11,2025-05-26,City Hospital,Mumbai,93,160,1.82,1
Dr. Swati Desai,Orthopedics,16,2025-05-27,Govt Health Center,Kolkata,86,141,1.8,1
Dr. Anil Mehra,Pediatrics,16,2025-05-28,City Hospital,New Delhi,49,269,0.59,0
Dr. Rohit Verma,Cardiology,9,2025-05-29,Metro Hospital,Chennai,20,54,1.04,1
Dr. Swati Desai,Pediatrics,12,2025-05-30,Metro Hospital,Chennai,71,69,1.51,1
Dr. Anil Mehra,Pediatrics,8,2025-05-31,Govt Health Center,Kolkata,55,150,1.93,1
Dr. Ravi Kumar,Orthopedics,11,2025-06-01,City Hospital,Chennai,57,344,1.71,0
Dr. Swati Desai,Cardiology,9,2025-06-02,City Hospital,Mumbai,52,465,0.76,0
Dr. Rohit Verma,Cardiology,15,2025-06-03,Metro Hospital,Mumbai,60,206,0.92,0
Dr. Ravi Kumar,Pediatrics,11,2025-06-04,Metro Hospital,Kolkata,70,499,1.65,0
Dr. Ravi Kumar,Orthopedics,12,2025-06-05,Govt Health Center,New Delhi,51,432,1.21,0
Dr. Ravi Kumar,Cardiology,11,2025-06-06,Metro Hospital,New Delhi,35,50,1.32,1
Dr. Swati Desai,Pediatrics,12,2025-06-07,Govt Health Center,New Delhi,20,261,1.41,1
Dr. Rohit Verma,Cardiology,12,2025-06-08,Govt Health Center,New Delhi,34,168,0.65,0
Dr. Ravi Kumar,Orthopedics,12,2025-06-09,Govt Health Center,Kolkata,49,434,1.78,0
Dr. Anil Mehra,Orthopedics,10,2025-06-10,Govt Health Center,Mumbai,34,309,1.79,0
Dr. Ravi Kumar,Orthopedics,14,2025-06-11,Metro Hospital,Kolkata,93,448,1.2,0
Dr. Ravi Kumar,Cardiology,10,2025-06-12,Govt Health Center,Kolkata,84,224,1.44,1
Dr. Swati Desai,Dermatology,9,2025-06-13,Metro Hospital,Chennai,83,463,1.49,0
Dr. Swati Desai,Cardiology,10,2025-06-14,Govt Health Center,Mumbai,61,183,0.78,0
Dr. Rohit Verma,Dermatology,10,2025-06-15,Metro Hospital,New Delhi,12,151,0.67,0
Dr. Anil Mehra,Orthopedics,15,2025-06-16,Govt Health Center,Mumbai,48,434,0.53,0
Dr. Swati Desai,Pediatrics,11,2025-06-17,Metro Hospital,Chennai,44,111,1.87,1
Dr. Ravi Kumar,Dermatology,10,2025-06-18,City Hospital,Kolkata,49,497,1.02,0
Dr. Rohit Verma,Orthopedics,17,2025-06-19,Govt Health Center,Mumbai,94,438,0.63,0
Dr. Ravi Kumar,Orthopedics,12,2025-06-20,Govt Health Center,Chennai,31,103,1.2,1
Dr. Ravi Kumar,Dermatology,11,2025-06-21,City Hospital,Kolkata,71,354,0.61,0
Dr. Swati Desai,Pediatrics,16,2025-06-22,City Hospital,New Delhi,28,56,0.63,0
Dr. Rohit Verma,Orthopedics,15,2025-06-23,Govt Health Center,Mumbai,23,405,1.23,0
Dr. Anil Mehra,Dermatology,14,2025-06-24,Metro Hospital,New Delhi,59,52,1.26,1
Dr. Anil Mehra,Pediatrics,15,2025-06-25,Govt Health Center,New Delhi,71,381,1.37,0
Dr. Swati Desai,Pediatrics,12,2025-06-26,Metro Hospital,Chennai,96,428,1.48,0
Dr. Swati Desai,Orthopedics,11,2025-06-27,City Hospital,Chennai,99,494,1.5,0
Dr. Rohit Verma,Cardiology,14,2025-06-28,Metro Hospital,Kolkata,52,384,1.15,0
Dr. Anil Mehra,Cardiology,8,2025-06-29,Govt Health Center,New Delhi,64,474,1.47,0
Dr. Anil Mehra,Orthopedics,13,2025-06-30,City Hospital,Chennai,49,198,0.96,0
Dr. Anil Mehra,Pediatrics,15,2025-07-01,City Hospital,Chennai,21,337,1.16,0
